Il numero totale di giorni è 1092 e il numero di specialità è 1109, giorni spuri 0

Giorno 0, ospedale 1000300, specialità 9, ricoveri 0/11, letti occupati 0/34, coda attesa 0
Giorno 0, ospedale 1000300, specialità 34, ricoveri 7/7, letti occupati 7/10, coda attesa 0
Giorno 0, ospedale 1000300, specialità 62, ricoveri 0/1, letti occupati 0/1, coda attesa 0
Giorno 0, ospedale 1000300, specialità 21, ricoveri 0/3, letti occupati 0/10, coda attesa 0
Giorno 0, ospedale 1000300, specialità 32, ricoveri 3/6, letti occupati 3/30, coda attesa 0
Giorno 0, ospedale 1000300, specialità 73, ricoveri 0/1, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000300, specialità 43, ricoveri 0/7, letti occupati 0/18, coda attesa 0
Giorno 0, ospedale 1000300, specialità 67, ricoveri 0/1, letti occupati 0/3, coda attesa 0
Giorno 0, ospedale 1000300, specialità 12, ricoveri 2/7, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000300, specialità 38, ricoveri 4/10, letti occupati 4/17, coda attesa 0
Giorno 0, ospedale 1000300, specialità 26, ricoveri 13/22, letti occupati 13/101, coda attesa 0
Giorno 0, ospedale 1000300, specialità 18, ricoveri 0/1, letti occupati 0/6, coda attesa 0
Giorno 0, ospedale 1000300, specialità 37, ricoveri 6/16, letti occupati 6/44, coda attesa 0
Giorno 0, ospedale 1000300, specialità 2, ricoveri 2/5, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000300, specialità 49, ricoveri 0/6, letti occupati 0/12, coda attesa 0
Giorno 0, ospedale 1000300, specialità 40, ricoveri 2/6, letti occupati 2/16, coda attesa 0
Giorno 0, ospedale 1000300, specialità 56, ricoveri 1/3, letti occupati 1/12, coda attesa 0
Giorno 0, ospedale 1000300, specialità 64, ricoveri 2/4, letti occupati 2/33, coda attesa 0
Giorno 0, ospedale 1000300, specialità 35, ricoveri 0/3, letti occupati 0/5, coda attesa 0
Giorno 0, ospedale 1000300, specialità 50, ricoveri 0/4, letti occupati 0/17, coda attesa 0
Giorno 0, ospedale 1000300, specialità 36, ricoveri 5/5, letti occupati 5/22, coda attesa 0
Giorno 0, ospedale 1000300, specialità 8, ricoveri 1/7, letti occupati 1/20, coda attesa 0
Giorno 0, ospedale 1000300, specialità 58, ricoveri 2/2, letti occupati 2/6, coda attesa 0
Giorno 0, ospedale 1000300, specialità 39, ricoveri 2/3, letti occupati 2/12, coda attesa 0
Giorno 0, ospedale 1000401, specialità 32, ricoveri 1/2, letti occupati 1/5, coda attesa 0
Giorno 0, ospedale 1000401, specialità 39, ricoveri 0/5, letti occupati 0/11, coda attesa 0
Giorno 0, ospedale 1000401, specialità 50, ricoveri 0/1, letti occupati 0/3, coda attesa 0
