Ospedale 01090903, totale pazienti 315
Ospedale 01089000, totale pazienti 540
Ospedale 01065400, totale pazienti 600
Ospedale 01090104, totale pazienti 618
Ospedale 01066500, totale pazienti 750
Ospedale 01061300, totale pazienti 899
Ospedale 01064400, totale pazienti 950
Ospedale 01002702, totale pazienti 993
Ospedale 01007903, totale pazienti 1014
Ospedale 01002303, totale pazienti 1051
Ospedale 01062700, totale pazienti 1206
Ospedale 01063000, totale pazienti 1308
Ospedale 01003002, totale pazienti 1335
Ospedale 01061500, totale pazienti 1351
Ospedale 01002602, totale pazienti 1359
Ospedale 01007902, totale pazienti 1464
Ospedale 01003003, totale pazienti 1499
Ospedale 01063900, totale pazienti 1626
Ospedale 01065100, totale pazienti 1725
Ospedale 01063300, totale pazienti 1835
Ospedale 01092200, totale pazienti 2030
Ospedale 01064800, totale pazienti 2031
Ospedale 01063400, totale pazienti 2095
Ospedale 01062000, totale pazienti 2194
Ospedale 01089800, totale pazienti 2338
Ospedale 01090703, totale pazienti 2519
Ospedale 01063100, totale pazienti 2658
Ospedale 01007905, totale pazienti 2683
Ospedale 01063500, totale pazienti 2744
Ospedale 01000802, totale pazienti 2822	riga 30, 46552, 3%
Ospedale 01065700, totale pazienti 2842
Ospedale 01064600, totale pazienti 2898
Ospedale 01061400, totale pazienti 2958
Ospedale 01064700, totale pazienti 2976
Ospedale 01062300, totale pazienti 2981
Ospedale 01090905, totale pazienti 3154
Ospedale 01002304, totale pazienti 3167
Ospedale 01062200, totale pazienti 3170
Ospedale 01090102, totale pazienti 3619
Ospedale 01001300, totale pazienti 3632
Ospedale 01090902, totale pazienti 3663
Ospedale 01002606, totale pazienti 3674
Ospedale 01002701, totale pazienti 3737
Ospedale 01089300, totale pazienti 3825
Ospedale 01089100, totale pazienti 4269
Ospedale 01061700, totale pazienti 4567
Ospedale 01090203, totale pazienti 4592
Ospedale 01062100, totale pazienti 4848
Ospedale 01000602, totale pazienti 4933
Ospedale 01062900, totale pazienti 4935
Ospedale 01064900, totale pazienti 6834
Ospedale 01007904, totale pazienti 7044
Ospedale 01001903, totale pazienti 7239
Ospedale 01088200, totale pazienti 7538 riga 54 9%
Ospedale 01090502, totale pazienti 7749
Ospedale 01012402, totale pazienti 8227
Ospedale 01063200, totale pazienti 8234
Ospedale 01064200, totale pazienti 8466
Ospedale 01061600, totale pazienti 8739
Ospedale 01065600, totale pazienti 9017
Ospedale 01064000, totale pazienti 9555
Ospedale 01000600, totale pazienti 9579
Ospedale 01090702, totale pazienti 9595
Ospedale 01061000, totale pazienti 10117
Ospedale 01000902, totale pazienti 10143
Ospedale 01000403, totale pazienti 10605
Ospedale 01061200, totale pazienti 10704
Ospedale 01064300, totale pazienti 10928
Ospedale 01062800, totale pazienti 10959
Ospedale 01002605, totale pazienti 11126
Ospedale 01002302, totale pazienti 11294
Ospedale 01090904, totale pazienti 11839
Ospedale 01092100, totale pazienti 11918
Ospedale 01061800, totale pazienti 12017
Ospedale 01001200, totale pazienti 12024
Ospedale 01012602, totale pazienti 12033
Ospedale 01064100, totale pazienti 12205
Ospedale 01090907, totale pazienti 12793
Ospedale 01062600, totale pazienti 13395
Ospedale 01000503, totale pazienti 13488
Ospedale 01012002, totale pazienti 13545
Ospedale 01001000, totale pazienti 13588
Ospedale 01090201, totale pazienti 14041
Ospedale 01000501, totale pazienti 14092
Ospedale 01090302, totale pazienti 14759
Ospedale 01002604, totale pazienti 14845
Ospedale 01092000, totale pazienti 15725
Ospedale 01000601, totale pazienti 16450
Ospedale 01000401, totale pazienti 16471
Ospedale 01065500, totale pazienti 16937
Ospedale 01000502, totale pazienti 17161
Ospedale 01089700, totale pazienti 18182
Ospedale 01012401, totale pazienti 19370
Ospedale 01002603, totale pazienti 20108
Ospedale 01061100, totale pazienti 20567
Ospedale 01089200, totale pazienti 21790
Ospedale 01001901, totale pazienti 22389
Ospedale 01003001, totale pazienti 23438
Ospedale 01001700, totale pazienti 23682
Ospedale 01000402, totale pazienti 23947
Ospedale 01090906, totale pazienti 25016
Ospedale 01000901, totale pazienti 25254
Ospedale 01007901, totale pazienti 26570
Ospedale 01002301, totale pazienti 26709
Ospedale 01090301, totale pazienti 26889
Ospedale 01002601, totale pazienti 28997
Ospedale 01000700, totale pazienti 29041
Ospedale 01012601, totale pazienti 30676
Ospedale 01012001, totale pazienti 31655
Ospedale 01001100, totale pazienti 33487
Ospedale 01090400, totale pazienti 38334
Ospedale 01000801, totale pazienti 44733
Ospedale 01008500, totale pazienti 46552
Ospedale 01000300, totale pazienti 47861
Ospedale 01090800, totale pazienti 59223
Ospedale 01090901, totale pazienti 60654
Ospedale 01090101, totale pazienti 64172
Ospedale 01090701, totale pazienti 64414
Ospedale 01090501, totale pazienti 79983
Ospedale 01090600, totale pazienti 84205
Totale pazienti 1661908
