Index,codice_struttura_erogante,codici_specialita,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max,year
0,res_01000300,spec_09,11,12,15,13,9,6,6,34,2011
1,res_01000300,spec_34,7,9,9,9,9,1,1,10,2011
2,res_01000300,spec_62,1,1,1,1,1,1,0,1,2011
3,res_01000300,spec_21,3,2,2,3,1,2,1,10,2011
4,res_01000300,spec_32,6,5,6,7,5,4,4,30,2011
5,res_01000300,spec_73,1,1,1,2,1,1,1,5,2011
6,res_01000300,spec_43,7,8,8,6,6,2,3,18,2011
7,res_01000300,spec_67,1,2,2,1,1,1,0,3,2011
8,res_01000300,spec_12,7,9,6,6,6,2,2,12,2011
9,res_01000300,spec_38,10,10,8,10,7,2,3,17,2011
10,res_01000300,spec_26,22,20,18,16,17,17,18,101,2011
11,res_01000300,spec_18,1,1,1,1,0,0,0,6,2011
12,res_01000300,spec_37,16,19,16,15,15,9,13,44,2011
13,res_01000300,spec_02,5,3,4,5,3,0,0,12,2011
14,res_01000300,spec_49,6,4,2,3,6,2,2,12,2011
15,res_01000300,spec_40,6,5,5,5,3,2,3,16,2011
16,res_01000300,spec_56,3,1,2,2,2,0,0,12,2011
17,res_01000300,spec_64,4,5,4,4,3,0,0,33,2011
18,res_01000300,spec_35,3,4,5,4,5,0,0,5,2011
19,res_01000300,spec_50,4,4,3,4,5,5,4,17,2011
20,res_01000300,spec_36,5,7,7,9,9,3,4,22,2011
21,res_01000300,spec_08,7,7,6,7,8,2,3,20,2011
22,res_01000300,spec_58,2,1,2,1,1,0,1,6,2011
23,res_01000300,spec_39,3,3,5,4,4,4,4,12,2011
24,res_01000401,spec_32,2,2,1,2,1,1,1,5,2011
25,res_01000401,spec_39,5,6,4,5,6,4,4,11,2011
26,res_01000401,spec_50,1,2,1,1,1,2,0,3,2011
27,res_01000401,spec_56,2,1,1,1,1,0,0,13,2011
28,res_01000401,spec_37,10,7,12,8,11,4,6,24,2011
29,res_01000401,spec_99,8,10,7,11,11,1,0,15,2011
30,res_01000401,spec_19,1,3,1,2,3,0,0,22,2011
31,res_01000401,spec_36,5,5,3,3,4,3,3,19,2011
32,res_01000401,spec_08,0,0,0,0,1,0,0,1,2011
33,res_01000401,spec_26,14,13,13,12,14,8,8,136,2011
